            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448255.500000000, A.D. 1990-Dec-30 00:00:00.0000, -1.219768286074523E+07,  8.581678129320100E+07,  8.116663557055399E+06,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000, -1.207521063802631E+07,  8.749325451665166E+07,  8.179886934743807E+06,
2448257.500000000, A.D. 1991-Jan-01 00:00:00.0000, -1.195734794569780E+07,  8.919700111285011E+07,  8.242477788055774E+06,
2448258.500000000, A.D. 1991-Jan-02 00:00:00.0000, -1.184469600273222E+07,  9.092816220041391E+07,  8.304450582879838E+06,
2448259.500000000, A.D. 1991-Jan-03 00:00:00.0000, -1.173786700907521E+07,  9.268688106192295E+07,  8.365820029608592E+06,
2448260.500000000, A.D. 1991-Jan-04 00:00:00.0000, -1.163748982886013E+07,  9.447329842489620E+07,  8.426600365375716E+06,
2448261.500000000, A.D. 1991-Jan-05 00:00:00.0000, -1.154421265672532E+07,  9.628754616430129E+07,  8.486804812329710E+06,
2448262.500000000, A.D. 1991-Jan-06 00:00:00.0000, -1.145870274462467E+07,  9.812974123133130E+07,  8.546445284932137E+06,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000, -1.138164414390084E+07,  9.999998096858236E+07,  8.605532319933690E+06,
2448264.500000000, A.D. 1991-Jan-08 00:00:00.0000, -1.131373460177717E+07,  1.018983401239728E+08,  8.664075150353201E+06,
2448265.500000000, A.D. 1991-Jan-09 00:00:00.0000, -1.125568246827395E+07,  1.038248693455204E+08,  8.722081847535260E+06,
2448266.500000000, A.D. 1991-Jan-10 00:00:00.0000, -1.120809552035183E+07,  1.057794648589051E+08,  8.779592817007057E+06,
2448267.500000000, A.D. 1991-Jan-11 00:00:00.0000, -1.117191319065665E+07,  1.077623914463376E+08,  8.836548066510014E+06,
2448268.500000000, A.D. 1991-Jan-12 00:00:00.0000, -1.114775272947521E+07,  1.097734904693008E+08,  8.892985671963282E+06,
2448269.500000000, A.D. 1991-Jan-13 00:00:00.0000, -1.113634298914871E+07,  1.118127126396046E+08,  8.948910219903223E+06,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000, -1.113841412639298E+07,  1.138799832959613E+08,  9.004325613226220E+06,
2448271.500000000, A.D. 1991-Jan-15 00:00:00.0000, -1.115469613185604E+07,  1.159752020546592E+08,  9.059235134342089E+06,
2448272.500000000, A.D. 1991-Jan-16 00:00:00.0000, -1.118591714358464E+07,  1.180982424586244E+08,  9.113641526699871E+06,
